firm_id,company_name,ticker,cik,sic,sic_description,sector,industry,exchange,source,source_date,inclusion_reason,notes
CIK0000034782,1ST SOURCE CORP,SRCE,0000034782,6022,State Commercial Banks,Financials,Commercial Banks,Nasdaq,SEC_CURRENT_LISTED_WITH_SEC_SIC,2026-06-27,financial_sic_602,"Current-listed SEC ticker universe as of source_date; not point-in-time for 2015-2025. Delisted, merged, bankrupt, and formerly listed firms are not fully represented."
CIK0001619544,9F Inc.,JFU,0001619544,6199,Finance Services,Financials,Finance Services,Nasdaq,SEC_CURRENT_LISTED_WITH_SEC_SIC,2026-06-27,financial_sic_619,"Current-listed SEC ticker universe as of source_date; not point-in-time for 2015-2025. Delisted, merged, bankrupt, and formerly listed firms are not fully represented."
CIK0001814287,"Abacus Global Management, Inc.",ABX,0001814287,6282,Investment Advice,Financials,Asset Management and Investment Advice,NYSE,SEC_CURRENT_LISTED_WITH_SEC_SIC,2026-06-27,financial_sic_628,"Current-listed SEC ticker universe as of source_date; not point-in-time for 2015-2025. Delisted, merged, bankrupt, and formerly listed firms are not fully represented."
CIK0001864055,Abits Group Inc,ABTS,0001864055,6199,Finance Services,Financials,Finance Services,Nasdaq,SEC_CURRENT_LISTED_WITH_SEC_SIC,2026-06-27,financial_sic_619,"Current-listed SEC ticker universe as of source_date; not point-in-time for 2015-2025. Delisted, merged, bankrupt, and formerly listed firms are not fully represented."
CIK0001748824,Acadian Asset Management Inc.,AAMI,0001748824,6282,Investment Advice,Financials,Asset Management and Investment Advice,NYSE,SEC_CURRENT_LISTED_WITH_SEC_SIC,2026-06-27,financial_sic_628,"Current-listed SEC ticker universe as of source_date; not point-in-time for 2015-2025. Delisted, merged, bankrupt, and formerly listed firms are not fully represented."
CIK0001997350,Accelerant Holdings,ARX,0001997350,6411,"Insurance Agents, Brokers & Service",Financials,Insurance Agents and Brokers,NYSE,SEC_CURRENT_LISTED_WITH_SEC_SIC,2026-06-27,financial_sic_641,"Current-listed SEC ticker universe as of source_date; not point-in-time for 2015-2025. Delisted, merged, bankrupt, and formerly listed firms are not fully represented."
CIK0000715579,ACNB CORP,ACNB,0000715579,6022,State Commercial Banks,Financials,Commercial Banks,Nasdaq,SEC_CURRENT_LISTED_WITH_SEC_SIC,2026-06-27,financial_sic_602,"Current-listed SEC ticker universe as of source_date; not point-in-time for 2015-2025. Delisted, merged, bankrupt, and formerly listed firms are not fully represented."
CIK0000769218,AEGON LTD.,AEFC,0000769218,6311,Life Insurance,Financials,Life Insurance,NYSE,SEC_CURRENT_LISTED_WITH_SEC_SIC,2026-06-27,financial_sic_631,"Current-listed SEC ticker universe as of source_date; not point-in-time for 2015-2025. Delisted, merged, bankrupt, and formerly listed firms are not fully represented."
CIK0001004434,"AFFILIATED MANAGERS GROUP, INC.",AMG,0001004434,6282,Investment Advice,Financials,Asset Management and Investment Advice,NYSE,SEC_CURRENT_LISTED_WITH_SEC_SIC,2026-06-27,financial_sic_628,"Current-listed SEC ticker universe as of source_date; not point-in-time for 2015-2025. Delisted, merged, bankrupt, and formerly listed firms are not fully represented."
CIK0001823406,"Affinity Bancshares, Inc.",AFBI,0001823406,6036,"Savings Institutions, Not Federally Chartered",Financials,Savings Institutions,Nasdaq,SEC_CURRENT_LISTED_WITH_SEC_SIC,2026-06-27,financial_sic_603,"Current-listed SEC ticker universe as of source_date; not point-in-time for 2015-2025. Delisted, merged, bankrupt, and formerly listed firms are not fully represented."
CIK0001820953,"Affirm Holdings, Inc.",AFRM,0001820953,6141,Personal Credit Institutions,Financials,Consumer Finance,Nasdaq,SEC_CURRENT_LISTED_WITH_SEC_SIC,2026-06-27,financial_sic_614,"Current-listed SEC ticker universe as of source_date; not point-in-time for 2015-2025. Delisted, merged, bankrupt, and formerly listed firms are not fully represented."
CIK0000004977,AFLAC INC,AFL,0000004977,6321,Accident & Health Insurance,Financials,Health and Accident Insurance,NYSE,SEC_CURRENT_LISTED_WITH_SEC_SIC,2026-06-27,financial_sic_632,"Current-listed SEC ticker universe as of source_date; not point-in-time for 2015-2025. Delisted, merged, bankrupt, and formerly listed firms are not fully represented."
CIK0002081206,AGI Inc,AGBK,0002081206,6029,"Commercial Banks, NEC",Financials,Commercial Banks,NYSE,SEC_CURRENT_LISTED_WITH_SEC_SIC,2026-06-27,financial_sic_602,"Current-listed SEC ticker universe as of source_date; not point-in-time for 2015-2025. Delisted, merged, bankrupt, and formerly listed firms are not fully represented."
CIK0001423689,AGNC Investment Corp.,AGNC,0001423689,6798,Real Estate Investment Trusts,Financials,Mortgage REIT or Selected Investment Vehicle,Nasdaq,SEC_CURRENT_LISTED_WITH_SEC_SIC,2026-06-27,selected_investment_sic_6798,"Current-listed SEC ticker universe as of source_date; not point-in-time for 2015-2025. Delisted, merged, bankrupt, and formerly listed firms are not fully represented."
CIK0000862861,AI Financial Corp,AIFC,0000862861,6221,Commodity Contracts Brokers & Dealers,Financials,Commodity Contracts,Nasdaq,SEC_CURRENT_LISTED_WITH_SEC_SIC,2026-06-27,financial_sic_622,"Current-listed SEC ticker universe as of source_date; not point-in-time for 2015-2025. Delisted, merged, bankrupt, and formerly listed firms are not fully represented."
CIK0001413855,AIFU Inc.,AIFU,0001413855,6411,"Insurance Agents, Brokers & Service",Financials,Insurance Agents and Brokers,Nasdaq,SEC_CURRENT_LISTED_WITH_SEC_SIC,2026-06-27,financial_sic_641,"Current-listed SEC ticker universe as of source_date; not point-in-time for 2015-2025. Delisted, merged, bankrupt, and formerly listed firms are not fully represented."
CIK0001460702,"AIxCrypto Holdings, Inc.",AIXC,0001460702,6199,Finance Services,Financials,Finance Services,Nasdaq,SEC_CURRENT_LISTED_WITH_SEC_SIC,2026-06-27,financial_sic_619,"Current-listed SEC ticker universe as of source_date; not point-in-time for 2015-2025. Delisted, merged, bankrupt, and formerly listed firms are not fully represented."
CIK0000903419,ALERUS FINANCIAL CORP,ALRS,0000903419,6021,National Commercial Banks,Financials,Commercial Banks,Nasdaq,SEC_CURRENT_LISTED_WITH_SEC_SIC,2026-06-27,financial_sic_602,"Current-listed SEC ticker universe as of source_date; not point-in-time for 2015-2025. Delisted, merged, bankrupt, and formerly listed firms are not fully represented."
CIK0001832466,"Alignment Healthcare, Inc.",ALHC,0001832466,6324,Hospital & Medical Service Plans,Financials,Health and Accident Insurance,Nasdaq,SEC_CURRENT_LISTED_WITH_SEC_SIC,2026-06-27,financial_sic_632,"Current-listed SEC ticker universe as of source_date; not point-in-time for 2015-2025. Delisted, merged, bankrupt, and formerly listed firms are not fully represented."
CIK0000825313,ALLIANCEBERNSTEIN HOLDING L.P.,AB,0000825313,6282,Investment Advice,Financials,Asset Management and Investment Advice,NYSE,SEC_CURRENT_LISTED_WITH_SEC_SIC,2026-06-27,financial_sic_628,"Current-listed SEC ticker universe as of source_date; not point-in-time for 2015-2025. Delisted, merged, bankrupt, and formerly listed firms are not fully represented."
