from_horizon_years,to_horizon_years,validated_conservative_treatment,from_status_required,to_horizon_status,event_rows,unique_issuer_clusters
1,3,0,analysis_ready,analysis_ready,2605,443
1,3,0,analysis_ready,calendar_right_censored_not_mature,36,36
1,3,0,analysis_ready,post_link_crsp_return_window_exceeds_available_daily_coverage,927,496
1,3,0,analysis_ready,return_noncomputed_not_computed_missing_issuer_return_inside_window,4,4
1,3,0,analysis_ready,return_noncomputed_not_computed_raw_coverage_incomplete,8,6
1,3,1,analysis_ready,analysis_ready,93,24
1,3,1,analysis_ready,calendar_right_censored_not_mature,2,2
1,3,1,analysis_ready,post_link_crsp_return_window_exceeds_available_daily_coverage,43,29
1,5,0,analysis_ready,analysis_ready,1759,391
1,5,0,analysis_ready,calendar_right_censored_not_mature,991,500
1,5,0,analysis_ready,post_link_crsp_return_window_exceeds_available_daily_coverage,817,434
1,5,0,analysis_ready,return_noncomputed_not_computed_missing_issuer_return_inside_window,3,3
1,5,0,analysis_ready,return_noncomputed_not_computed_raw_coverage_incomplete,10,5
1,5,1,analysis_ready,analysis_ready,63,19
1,5,1,analysis_ready,calendar_right_censored_not_mature,47,32
1,5,1,analysis_ready,post_link_crsp_return_window_exceeds_available_daily_coverage,28,17
3,5,0,analysis_ready,analysis_ready,1759,391
3,5,0,analysis_ready,calendar_right_censored_not_mature,27,27
3,5,0,analysis_ready,post_link_crsp_return_window_exceeds_available_daily_coverage,811,432
3,5,0,analysis_ready,return_noncomputed_not_computed_raw_coverage_incomplete,8,5
3,5,1,analysis_ready,analysis_ready,63,19
3,5,1,analysis_ready,calendar_right_censored_not_mature,2,2
3,5,1,analysis_ready,post_link_crsp_return_window_exceeds_available_daily_coverage,28,17
