horizon_years,outcome,winsorization_method,n,lower_p01,upper_p99
1,issuer_raw_return_compounded,within_horizon_p01_p99_two_sided,3718,-0.8012105744,1.4467440491
1,excess_return_vs_vwretd,within_horizon_p01_p99_two_sided,3718,-0.8479286600,1.1130019511
1,excess_return_vs_vwretx,within_horizon_p01_p99_two_sided,3718,-0.8316643760,1.1308701011
1,excess_return_vs_ewretd,within_horizon_p01_p99_two_sided,3718,-0.9025316024,1.1125975904
1,excess_return_vs_ewretx,within_horizon_p01_p99_two_sided,3718,-0.8652387596,1.1357627728
1,excess_return_vs_sprtrn,within_horizon_p01_p99_two_sided,3718,-0.8582535646,1.1210274796
3,issuer_raw_return_compounded,within_horizon_p01_p99_two_sided,2698,-0.8946484957,2.8685584734
3,excess_return_vs_vwretd,within_horizon_p01_p99_two_sided,2698,-1.2502939409,2.4207979388
3,excess_return_vs_vwretx,within_horizon_p01_p99_two_sided,2698,-1.1860428321,2.5050239369
3,excess_return_vs_ewretd,within_horizon_p01_p99_two_sided,2698,-1.2663122861,2.4498141535
3,excess_return_vs_ewretx,within_horizon_p01_p99_two_sided,2698,-1.1752170015,2.5326112859
3,excess_return_vs_sprtrn,within_horizon_p01_p99_two_sided,2698,-1.2589701699,2.4478160076
5,issuer_raw_return_compounded,within_horizon_p01_p99_two_sided,1822,-0.9291347307,5.3254540111
5,excess_return_vs_vwretd,within_horizon_p01_p99_two_sided,1822,-1.7230815285,4.2679141550
5,excess_return_vs_vwretx,within_horizon_p01_p99_two_sided,1822,-1.5303754006,4.4444980766
5,excess_return_vs_ewretd,within_horizon_p01_p99_two_sided,1822,-1.6976146982,4.3607786233
5,excess_return_vs_ewretx,within_horizon_p01_p99_two_sided,1822,-1.4886186886,4.5197965437
5,excess_return_vs_sprtrn,within_horizon_p01_p99_two_sided,1822,-1.6790378828,4.3912536588
